Type de panne;Durée arrêt (h);Résumé intervention;Date intervention;Désignation;Date demande;Cause;Coût matériel;Organe;[Pièce].Désignation;[Pièce].Référence;[Pièce].Quantité;[Pièce].Prix total
Mécanique;2;Verification de la sonde T1 / verification du circuit de refroidissement de la temperature / remplissage ;04/02/2025;machine3;04/02/2025 18:00;BROCHE HS: TEMPERATURE ELEVEE;0;01-Broche ;;;;
Mécanique;3,25;Verification de la temperature de groupe de refroidissement /verification de graissage de broche / verification de serrage et desserage d'outil ;04/02/2025;machine3;04/02/2025 05:45;BROCHE HS: TEMPERATURE ELEVEE;0;01-Broche ;;;;
Mécanique;19;Verification de l'ancienne pompe / changement de la pompe de melonge;04/02/2025;machine9;04/02/2025 17:00;MANQUE DE PRESSION;674;;POMPE DOSEUSE DOSATRON D3RE10VVF;M-PPE0014;1.0;674
Arrosage;0,33333;L'operateur n'a pas remplie le reservoir d'arrosage ;03/02/2025;machine2;03/02/2025 07:30;DEFAUT OPERATEUR;0;04-Groupe d'arrosage ;;;;
Arrosage;1,15;Verification de l'etat du filtre d'arrosage au centre ;03/02/2025;machine2;03/02/2025 06:41;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Arrosage;0,41667;Nettoyage du circuit d'arrosage normal ;03/02/2025;machine2;03/02/2025 12:15;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Arrosage;0,41667;Nettoyage du filtre d'arrosage normal et circuit ;03/02/2025;machine2;03/02/2025 08:55;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Mécanique;0,83333;Redemarrage de la machine / renitialisation des alarmes / retour a l'etat initiale de la COA ;03/02/2025;machine6;03/02/2025 14:00;DEFAUT OPERATEUR;0;01-Broche ;;;;
Mécanique;12,5;Retour a l'etat initiale de changement d'outils ;02/02/2025;machine1;02/02/2025 18:00;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Mécanique;1,16667;Verification de l'axe C / changement courroie d'axe C ;01/02/2025;machine2;01/02/2025 11:20;BLOCAGE AXES PRINCIPAUX;46,3;0242-Axe C;Courroie d'axe C (BELT PCGT 5MX15 5MGT- 600-15);M-TRANS0023;1.0;46,3
Arrosage;0,66667;Vidange du bag de retour d'arrosage / verification du flotteur de niveau d'arrosage ;01/02/2025;machine3;01/02/2025 09:30;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Arrosage;0,5;Nettoyage de la pompe d'arrosage normal / verification du fonctionnement d'arrosage normal ;01/02/2025;machine6;01/02/2025 06:30;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Mécanique;1,13333;Verification du niveau d'huile du groupe hydraulique / branchement du connecteur de la pedal du mandrin  ;01/02/2025;machine5;01/02/2025 07:02;PROBLEME DE SERRAGE MANDRIN;0;00-Broche;;;;
Mécanique;1,33333;Reglage de la pression d'air / activation du bridage- debridage palette / retour a l'etat initial de changement palette ;01/02/2025;machine1;01/02/2025 00:20;BLOCAGE CHANGEMENT PALETTE;0;07-Changeur de palettes;;;;
Mécanique;0,58333;Reglage de la pression d'air de bridage et debridage palette / retour du CPA a la position initiale ;01/02/2025;machine1;01/02/2025 08:30;BLOCAGE CHANGEMENT PALETTE;0;07-Changeur de palettes;;;;
Hydraulique;4,86667;Elimination de la fuite d'huile / reglage du presostat de la pression  ;31/01/2025;machine8;31/01/2025 11:48;FUITE D'HUILE;0;05-Unité de lubrification ;;;;
Mécanique;16,33333;Controle geometrique 5 axe / prendre la circularite et alignement de schunk / lancement de la piece teste / modification Zn= 0.05 mm / Xn=0.01mm  ;31/01/2025;machine2;31/01/2025 08:00;DECALAGE POSITION AXE;0;02-Axes ;;;;
Informatique;2;Appliquer la procedure de configuration reseau sur la DMU 1/4;31/01/2025;machine3;31/01/2025 11:00;PROBLEME RESEAU;0;03-Armoire électrique ;;;;
Arrosage;0,66667;Instalation du bag de recuperation provisoire arrosage ;31/01/2025;machine6;31/01/2025 09:45;FUITE LIQUIDE D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Arrosage;0,63333;Nettoyage de la pompe d'arrosage centre / nettoyage du circuit d'arrosage / changement du filtre d'arrosage centre ;30/01/2025;machine2;30/01/2025 22:47;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Arrosage;1,05;Nettoyage de la pompe / nettoyage du circuit d'arrosage normal / nettoyage du filtre ;30/01/2025;machine2;30/01/2025 03:07;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Arrosage;0,58333;Nettoyage de la pompe d'arrosage normale ;30/01/2025;machine3;30/01/2025 14:30;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Mécanique;0,91667;Remplissage du groupe hydraulique / verification de l'etat de la pince / verification de l'etat de capteur de serrage et desserage outil ;30/01/2025;machine3;30/01/2025 12:20;PROBLEME DE LUBRIFICATION;0;01-Broche ;;;;
Mécanique;1,08333;Remplissage du groupe de refroidissement / verification du controleur de temperature / reverification de la temperature ;30/01/2025;machine3;30/01/2025 06:45;PROBLEME DE REFROIDISSEMENT;0;01-Broche ;;;;
Programme;3,33333;Controle du faux rond et parallelisme de la broche / controle SKF / lancement du programme pour verifier la charge et temperature de la broche ;30/01/2025;machine1;30/01/2025 01:30;PROBLEME PROGRAMME;0;0242-Axe C;;;;
Mécanique;0,5;Probleme du connecteur de la pedale / nettoyage du connecteur  ;30/01/2025;machine5;30/01/2025 00:50;BLOCAGE MANDRIN;0;00-Broche;;;;
Mécanique;0,56667;Deblocage de bras de changement d'outils / retour a l'etat initiale ;30/01/2025;machine10;30/01/2025 21:01;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outil;;;;
Mécanique;3,33333;Changement de la polie et courroie de l'axe C ;29/01/2025;machine2;29/01/2025 14:50;BLOCAGE AXES PRINCIPAUX;106,3;0242-Axe C;POULIE AXE C 45600B;M-M0142;1.0;60
Mécanique;3,33333;Changement de la polie et courroie de l'axe C ;29/01/2025;machine2;29/01/2025 14:50;BLOCAGE AXES PRINCIPAUX;106,3;0242-Axe C;Courroie d'axe C (BELT PCGT 5MX15 5MGT- 600-15);M-TRANS0023;1.0;46,3
Hydraulique;4,63333;Vindage et nettoyage du bac de la pompe de graissage / verification du flotteur de niveau /remplissage du bac de la pompe de graissage ;29/01/2025;machine8;29/01/2025 12:02;PROBLEME DE LUBRIFICATION;0;05-Unité de lubrification ;;;;
Hydraulique;4,63333;Vidange et nettoyage du bag de la pompe de graissage / verification du fotteur de niveau / remplissage du bag de la pompe de graissage ;29/01/2025;machine8;29/01/2025 12:02;PROBLEME DE LUBRIFICATION;0;05-Unité de lubrification ;;;;
Arrosage;0,5;Nettoyage du flexible du pistolet d'arrosage / verification du fonctionnement du pistolet ;29/01/2025;machine2;29/01/2025 13:20;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Arrosage;0,91667;Nettoyage du circuit d'arrosage normal ;29/01/2025;machine2;29/01/2025 15:15;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Mécanique;2;Retour a l'etat initiale de changement d'outils ;29/01/2025;machine2;29/01/2025 13:00;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Mécanique;0,5;Verification des conditons de changement d'outils / retour a l'etat intiale  ;29/01/2025;machine3;29/01/2025 18:50;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Mécanique;0,58333;Nettoyage du cone de la broche avec le nettoie-cone ;29/01/2025;machine4;29/01/2025;BROCHE HS : SERRAGE OUTIL;0;01-Broche;;;;
Programme;0,83333;Retour de la machine a l'etat initiale ;29/01/2025;machine1;29/01/2025 19:50;PROBLEME PROGRAMME;0;01-Broche ;;;;
Arrosage;0,25;Nettoyage de la pompe et des buses d'arrosage normal / verification du fonctionnement d'arrosage normal ;29/01/2025;machine6;29/01/2025 06:45;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Mécanique;0,66667;Verification de l'etat de la position de changement d'outils /prendre l'origine CPA ;29/01/2025;machine1;29/01/2025 19:00;BLOCAGE CHANGEMENT PALETTE;0;07-Changeur de palettes;;;;
Mécanique;1;Rearmer le disjoncteur du moteur du convoyeur / verification du fonctionnement de la chaine du convoyeur ;28/01/2025;machine1;28/01/2025 05:50;BLOCAGE DE CONVOYEUR A COPEAUX;0;042-Convoyeur de copeaux;;;;
Mécanique;0,25;Recouvrement des conditions de la COA ;28/01/2025;machine2;28/01/2025 08:30;BLOCAGE CHANGEMENT D'OUTIL;0;06-changement d'outil;;;;
Mécanique;0,41667;Verification des capteurs de serrages et desserages outil / verification des connecteur des capteurs;28/01/2025;machine3;28/01/2025 08:00;BROCHE HS : SERRAGE OUTIL;0;01-Broche ;;;;
Mécanique;0,66667;Controle du centre palette / modification de l'axe Z => (-610.2818  -610.9471);28/01/2025;machine4;28/01/2025 15:20;DECALAGE POSITION AXE;0;02-Axes;;;;
Mécanique;3,25;Deblocage de l'outillage sur la table / verification de l'etat du support palette ;28/01/2025;machine4;28/01/2025 16:45;BLOCAGE OUTILLAGE;0;02-Axes;;;;
Mécanique;0,25;Verification du clampage et declampage palette ;28/01/2025;machine6;28/01/2025 11:30;BLOCAGE CHANGEMENT PALETTE;0;07-Changeur de palettes;;;;
Mécanique;1,16667;Verification de l'etat de serrage et desserage outil / retour a l'etat initiale de changement d'outil / lancement programme de changement d'outil (T9.11.36.18)(T3.13);28/01/2025;machine4;28/01/2025 00:25;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Arrosage;0,75;Changement de la pompe d'arrosage centre / verification du sens du moteur de la pompe / verification du fonctionnement d'arrosage centre ( 10.9Bar);27/01/2025;machine2;27/01/2025 14:15;PROBLEME D'ARROSAGE;3100;04-Groupe d'arrosage ;Pompe d'arrosage centre (ref: 30-8823H 300 PSI 3PH);M-PPE0016;1.0;3100
Mécanique;0,41667;Verification de l'etat de changement d'outils / retour a l'etat initiale ;27/01/2025;machine3;27/01/2025 19:30;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Mécanique;0,58333;Verification de la mise en place palette / retour a l'etat initiale du CPA  ;27/01/2025;machine1;27/01/2025 16:25;BLOCAGE CHANGEMENT PALETTE;0;07-Changeur de palettes;;;;
Hydraulique;1,58333;Verification du circuit d'huile / verification de la pompe de graissage broche / changement de la pompe de graissage broche ;27/01/2025;machine1;27/01/2025 13:30;PROBLEME DE LUBRIFICATION;188,27;05-Unité de lubrification ;Pompe de lubrification des axes & broche ;M-PPE0011;1.0;188,27
Mécanique;2,11667;Reparation du protecteur d'axe Y / fixation du protecteur d'axe Y / nettoyage du protecteur d'axe Y ;27/01/2025;machine10;27/01/2025 21:53;BLOCAGE PROTECTEUR;0;022-Axe Y;;;;
Mécanique;0,58333;Verification de l'etat du preneur de changement d'outils / retour du preneur et magasin a l'etat initiale ;26/01/2025;machine3;26/01/2025 11:00;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Electronique;0,33333;Redemarrage de la machine / retour des axes a l'etat initiale ;26/01/2025;machine1;26/01/2025 14:00;PANNE ELECTRIQUE;0;03-Armoire électrique ;;;;
Arrosage;0,41667;Nettoyage de la pompe d'arrosage du convoyeur ;26/01/2025;machine6;26/01/2025 08:00;DEBORDEMENT ;0;04-Groupe d'arrosage;;;;
Divers;0,5;Verification du cable reseau / deconnecter et connecter le cable reseau / redemarrage de la machine ;26/01/2025;machine1;26/01/2025 11:50;PROBLEME RESEAU;0;03-Armoire électrique ;;;;
Mécanique;0,75;Verification du debit du mixing valve /  verification du temperature de broche / verification faux rond de broche ;25/01/2025;machine4;25/01/2025 01:15;AMELIORATION MACHINE // VERIFICATION MACHINE;0;01-Broche;;;;
Mécanique;1,75;Reparation du protecteur d'axe Z / demontage et remontage du protecteur d'axe Z  ;25/01/2025;machine2;25/01/2025 10:40;BLOCAGE PROTECTEUR;0;023-Axe Z;;;;
Arrosage;2,08333;Nettoyage des pompes d'arrosage / nettoyage des bags d'arrosage / nettoyage du filtre de retour d'arrosage ;25/01/2025;machine6;25/01/2025 09:05;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Arrosage;0,66667;Nettoyage du filtre du convoyeur ;25/01/2025;machine1;25/01/2025 04:40;FUITE LIQUIDE D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Arrosage;3,08333;Demontage du filtre du convoyeur / nettoyage des buses d'arrosage / remontage du filtre ;25/01/2025;machine1;25/01/2025 06:40;DEBORDEMENT ;0;04-Groupe d'arrosage;;;;
Mécanique;9,58333;Demontage support palette / reparation du support palette (changement du segment=mandrin) / montage du support palette / reglage de la circularite et alignement ;24/01/2025;machine3;24/01/2025 06:30;BLOCAGE SUPPORT PALETTE / PALETTE;338,97;02-Axes;ANNEAU D'ARRET UPC P ;M-M0073;1.0;338,97
Arrosage;0,56667;Nettoyage du flexible de la pompe d'arrosage centre ;24/01/2025;machine2;24/01/2025 07:44;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Arrosage;0,33333;Changement du filtre d'arrosage centre / controle de la pression d'arrosage centre ok (6.5)bar;24/01/2025;machine2;24/01/2025 04:20;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Mécanique;6,75;Retour a l'etat initiale de changement d'outil / changement de HMI +configuration reseau de la DMU 1/1 avec la DMU 1/4 ;24/01/2025;machine3;24/01/2025 07:15;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Hydraulique;0,5;Vis de retour d'huile de la tourelle desserer / serrage des vis ;24/01/2025;machine7;24/01/2025 08:00;FUITE D'HUILE;0;05-Groupe de lubrification;;;;
Arrosage;1,66667;Nettoyage de la pompe d'arrosage / nettoyage des filtres du convoyeur / nettoyages des buses d'arrosage;24/01/2025;machine6;24/01/2025 10:00;DEBORDEMENT ;0;04-Groupe d'arrosage;;;;
Arrosage;0,33333;Nettoyage de l'entrer de la pompe d'arrosage  ;24/01/2025;machine6;24/01/2025 15:50;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Arrosage;2,36667;Nettoyage de la pompe d'arrosage et tambour du convoyeur / nettoyage du filtre et circuit d'arrosage ;24/01/2025;machine1;24/01/2025 07:13;DEFAUT OPERATEUR;0;04-Groupe d'arrosage;;;;
Arrosage;0,33333;Changement du filtre d'arrosage au centre / verification du fonctionnement d'arrosage au centre ;23/01/2025;machine2;23/01/2025 16:20;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Arrosage;0,5;Verification du robinet d'arrosage / demontage du robinet d'arrosage ;23/01/2025;machine2;23/01/2025 10:40;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Arrosage;0,33333;Nettoyage du filtre de retour d'arrosage ;23/01/2025;machine4;23/01/2025 07:30;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Arrosage;1,46667;Nettoyage de la pompe d'arrosage / nettoyage du filtre du convoyeur / nettoyage de la pompe ;23/01/2025;machine6;23/01/2025 11:12;DEBORDEMENT ;0;04-Groupe d'arrosage;;;;
Pneumatique;0,66667;Verification du circuit d'air de la machine / verification de la pression d'air / elimination de la fuite ;23/01/2025;machine1;23/01/2025 11:20;FUITE D'AIR;0;11-Système pneumatique;;;;
Hydraulique;1,5;Vidange du reservoir d'antigel / nettoyage du reservoir / remplissage du l'antigel a nouveau  ;23/01/2025;machine10;23/01/2025 15:00;PROBLEME DE REFROIDISSEMENT;0;09-Groupe frigorifique ;;;;
Mécanique;2,5;Correction du decalage des axes Yn=0.05mm Zn=0.015mm;23/01/2025;machine3;23/01/2025 11:00;DECALAGE POSITION AXE;0;02-Axes;;;;
Mécanique;0,83333;Redemarrage de la machine / prendre l'origine de changement d'outil / retour a l'etat intiale de changement d'outils ;23/01/2025;machine1;23/01/2025 01:15;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Arrosage;0,41667;Nettoyage des filtres de retour d'arrosage ;23/01/2025;machine4;23/01/2025 13:15;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Mécanique;1,16667;Remplir le reservoir du frein d'axe C / lancement du programme d'amorcage M10 M11 circuit ;22/01/2025;machine2;22/01/2025 11:45;BLOCAGE AXES PRINCIPAUX;0;0242-Axe C;;;;
Mécanique;0,58333;Outil trop long N°outil : 31#902 modification des conditions de coupe (avonce);22/01/2025;machine2;22/01/2025 08:20;DEFAUT OUTIL;0;06-changement d'outil;;;;
Mécanique;0,66667;Retour a l'etat initiale de changement d'outils ;22/01/2025;machine3;22/01/2025 04:15;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Mécanique;1,08333;Retour a l'etat initiale de changement d'outils / changement du pot d'outils / prendre l'origine du magasin d'outil ;22/01/2025;machine3;22/01/2025 06:05;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Hydraulique;1,5;Remplissage du groupe froid / reglage de la temperature ;22/01/2025;machine3;22/01/2025 15:00;PROBLEME DE REFROIDISSEMENT;0;09-Groupe frigorifique;;;;
Hydraulique;3,5;Nettoyage du filtre d'aspiration de la pompe de lubrification / verification de la viscosite d'huile / controle du circuit de circulation d'huile ;22/01/2025;machine1;22/01/2025 17:00;PROBLEME DE LUBRIFICATION;0;05-Unité de lubrification ;;;;
Arrosage;4,81667;Basculer les deux pompes d'arrosage douche par le pompe d'arrosage bac TSC / nettoyage du filtre de l'unite TSC / amorcage de la pompe ;22/01/2025;machine1;22/01/2025 15:11;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Mécanique;0,5;Deblocage de l'outillage sur la table ;22/01/2025;machine4;22/01/2025 02:40;BLOCAGE OUTILLAGE;0;02-Axes;;;;
Mécanique;0,35;Nettoyage de la porte de changement d'outils / nettoyage du magasiin d'outils / retour a l'etat initiale de changement d'outils ;22/01/2025;machine6;22/01/2025 12:25;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Mécanique;0,53333;Retour a l'etat initiale de changement palette / probleme de bridage palette ;22/01/2025;machine6;22/01/2025 12:18;BLOCAGE CHANGEMENT PALETTE;0;07-Changeur de palettes;;;;
Hydraulique;0,5;Verification des flexible du groupe hydraulique / remontee les carteres d'arriere machine ;22/01/2025;machine8;22/01/2025 14:30;FUITE HYDRAULIQUE;0;05-Unité de lubrification ;;;;
Mécanique;3;Correction des erreur de -0.1 sur l'axe Cind a 0 / correction des erreurs de -0.23 sur l'axe Bind a -0.02 / midification des valeurs MRZP;21/01/2025;machine2;21/01/2025 19:00;DECALAGE POSITION AXE;0;02-Axes ;;;;
Arrosage;0,38333;Nettoyage du filtre de retour d'arrosage ;21/01/2025;machine2;21/01/2025 11:07;FUITE LIQUIDE D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Arrosage;0,41667;Nettoyage de la pompe d'arrosage / nettoyage des filtres du convoyeur ;21/01/2025;machine6;21/01/2025 07:15;DEBORDEMENT ;0;04-Groupe d'arrosage;;;;
Mécanique;0,5;Deblocage du convoyeur / renitialisation de l'alarme ;21/01/2025;machine10;21/01/2025 15:00;BLOCAGE DE CONVOYEUR A COPEAUX;0;042-Convoyeur de copeaux ;;;;
Mécanique;1,16667;Retour du bras de changement d'outils a l'etat initiale / verification du fonctionnement de changement outil ;21/01/2025;machine10;21/01/2025 18:00;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outil;;;;
Mécanique;0,5;Reset power / retour des axes a l'origine ;21/01/2025;machine3;21/01/2025 16:00;DEFAUT OUTIL;0;01-Broche ;;;;
Arrosage;0,58333;Nettoyage de la pompe d'arrosage normale et nettoyage du filtre et buse du moteur d'arrosage au reservoir ;20/01/2025;machine2;20/01/2025 12:20;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Mécanique;0,75;Verification de la pression d'aire / reglage de la pression d'aire / retour du CPA a l'etat initiale ;20/01/2025;machine1;20/01/2025 07:30;BLOCAGE CHANGEMENT PALETTE;0;07-Changeur de palettes;;;;
Mécanique;0,58333;Nettoyer l'emplacement de la palette / retour a l'etat initiale du CPA ;20/01/2025;machine1;20/01/2025 11:50;BLOCAGE CHANGEMENT PALETTE;0;07-Changeur de palettes;;;;
Arrosage;0,25;Nettoyage de la pompe d'arrosage normal / verification du fonctionnement d'arrosage normal  ;20/01/2025;machine6;20/01/2025 18:45;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Arrosage;1;Reparation du robinet d'arrosage / nettoyage de la carte electronique du robinet / verification du condensateur du moteur ;20/01/2025;machine2;20/01/2025 17:00;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Hydraulique;1,75;Verification du circuit de lubrification broche / nettoyage des filtres de la pompe de graissage / diminuer le niveau d'huile dans le reservoir pour faire l'appoint au max / amorcage de la pompe ;19/01/2025;machine1;19/01/2025 12:00;PROBLEME DE LUBRIFICATION;0;05-Unité de lubrification ;;;;
Arrosage;0,33333;Nettoyage de la pompe d'arrosage du convoyeur ;19/01/2025;machine6;19/01/2025 02:00;DEBORDEMENT ;0;04-Groupe d'arrosage;;;;
Arrosage;0,75;Nettoyage de la pompe d'arrosage normal et des buses/ verification de l'etat de la pompe d'arrosage  ;18/01/2025;machine3;18/01/2025 13:00;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Mécanique;15,66667;Verification du niveau du reservoir de refroidissement des axes /remplissage du reservoir de FM / verification du circuit du FM;18/01/2025;machine3;18/01/2025 18:00;PROBLEME DE REFROIDISSEMENT;0;09-Groupe frigorifique;;;;
Arrosage;1,08333;Nettoyage de la pompe d'arrosage normal ;18/01/2025;machine6;18/01/2025 07:30;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Mécanique;1,25;Verification du preneur de changement d'outils /nettoyage de la pince de broche / retour du magasin et preneur de changement d'outils a l'etat initiale ;17/01/2025;machine3;17/01/2025 10:35;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Mécanique;1;Verification des capteurs de serrage et desserage outil / reglage de la position de serrage sans outil / retour des axes a la position d'origine ;17/01/2025;machine3;17/01/2025 22:10;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Hydraulique;1,58333;Nettoyage des filtres de la pompe / changement du raccord pour eliminer la fuite ;17/01/2025;machine1;17/01/2025 13:50;PROBLEME DE LUBRIFICATION;0;05-Unité de lubrification ;;;;
Mécanique;0,58333;Verification des capteurs de presence de palette / redemarrer la machine / retour du CPA a l'etat initiale ;17/01/2025;machine1;17/01/2025 12:15;BLOCAGE CHANGEMENT PALETTE;0;07-Changeur de palettes;;;;
Hydraulique;2,08333;Elimination de la fuite dans le circuit de lubrification des axes / remplissage su reservoir de lubrification des axes ;17/01/2025;machine1;17/01/2025 17:00;PROBLEME DE LUBRIFICATION;0;05-Unité de lubrification ;;;;
Arrosage;1,16667;Nettoyage de la pompe d'arrosage normal ;17/01/2025;machine6;17/01/2025 11:00;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Mécanique;0,25;Retour a l'etat initiale de changement palette ;17/01/2025;machine1;17/01/2025 14:45;BLOCAGE CHANGEMENT PALETTE;0;07-Changeur de palettes;;;;
Arrosage;0,33333;Nettoyage du circuit d'arrosage normal / verification du fonctionnement d'arrosage normal ;16/01/2025;machine2;16/01/2025 22:30;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Hydraulique;1,58333;Changement du distributeur de graissage des axes / amorcage de la pompe de graissage des axes ;16/01/2025;machine1;16/01/2025 22:50;PROBLEME DE LUBRIFICATION;147;05-Unité de lubrification ;(P40184A01 RAMPE DE GRAISSAGE - DPB- 16 0.1cc) DISTRIBUTEUR DE GRAISSAGE 6 ENTRER ( dester plunger DPB-16 0.1 CC) ref P40184A01;M-DIS0011;1.0;147
Hydraulique;0,55;Amorcage de la pompe de lubrification ;16/01/2025;machine1;16/01/2025 15:10;PROBLEME DE LUBRIFICATION;0;05-Unité de lubrification ;;;;
Arrosage;0,25;Changement du filtre d'arrosage centre / verification de la pression d'arrosage centre ;16/01/2025;machine4;16/01/2025 08:30;PROBLEME D'ARROSAGE;393,47;04-Groupe d'arrosage;FILTER ELEMENT d'arrosage au centre DA-300  (Z476Z0500270 FILTER ELEMENT);M-F0040;1.0;393,47
Electronique;0,33333;Verification de la partie electrique / redemarrage machine ;16/01/2025;machine6;16/01/2025 16:10;PROBLEME ELECTRONIQUE;0;03-Armoire électrique ;;;;
Mécanique;6,5;Controle geo:  faux rond: (0.025 0.04) parallelisme XZ: (0  -0.02) parallelisme YZ: (0 0.01)  / correction defaut du centre plateau / modification de la valeur des parametres du centre plateau (X=364.984 Y=-255.105  Z=-561.043) => (X=365.094 Y=-255.1;16/01/2025;machine1;16/01/2025 07:45;AMELIORATION MACHINE // VERIFICATION MACHINE;0;02-Axes;;;;
Electronique;0,75;Verification du condensateur du moteur du convoyeur / retour a l'etat initiale ;15/01/2025;machine2;15/01/2025 10:20;BLOCAGE DE CONVOYEUR A COPEAUX;0;042-Convoyeur de copeaux;;;;
Mécanique;0,41667;Retour a l'etat initiale de changement d'outils / demontage de l'outil sur la broche ;15/01/2025;machine4;15/01/2025 16:35;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Mécanique;1,75;Remplissage du reservoir de la pince du changement d'outils de la broche / retour a l'etat initiale du preneur / changement du pot d'outils ;13/01/2025;machine3;13/01/2025 16:00;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Arrosage;0,58333;Nettoyage de la pompe d'arrosage normal / nettoyage du reservoir de la pompe d'arrsage normal ;13/01/2025;machine6;13/01/2025 16:00;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Arrosage;0,91667;Nettoyage de la pompe normal / nettoyage de la pompe du convoyeur / nettoyage du reservoir d'arrosage des coupeaux ;13/01/2025;machine6;13/01/2025 15:15;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Mécanique;0,66667;Retour du bras de changement manuelle a l'etat initiale ;13/01/2025;machine10;13/01/2025 19:30;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outil;;;;
Arrosage;12,5;Demontage de la pompe / verification de l'etat de la pompe / pompe cassee;13/01/2025;machine6;13/01/2025 05:30;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Mécanique;3,25;Demontage du protecteur d'axe Z / nettoyage du protetcteur d'axe Z / reparation du protecteur Z / remontage du protecteur d'axe Z ;12/01/2025;machine2;12/01/2025 06:05;BLOCAGE PROTECTEUR;0;023-Axe Z;;;;
Mécanique;0,5;Verification de l'outils / demander a l'operateur de changer l'outils / retour du preneur a l'etat initiale ;11/01/2025;machine3;11/01/2025 12:20;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Mécanique;13,61667;Verification du codeur broche / nettoyage du codeur de la broche / redemarrage de la machine  ;11/01/2025;machine6;11/01/2025 18:58;PROBLEME D'ETALONNAGE;0;01-Broche ;;;;
Electronique;0,41667;Verification de l'amplificateur d'axe Y / verification du ventilateur d'amplificateur de l'axe Y ;10/01/2025;machine2;10/01/2025 06:30;PROBLEME ELECTRONIQUE;0;022-Axes Y;;;;
Arrosage;1,08333;Nettoyage du flexible d'arrosage normale / nettoyage du filtre d'arrosage normale ;10/01/2025;machine2;10/01/2025 10:30;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
