Type de panne;Durée arrêt (h);Date intervention;Désignation;Catégorie de panne;Nombre d'heures MO;Coût total intervention;[MO interne].Nom;[MO interne].Prénom;[MO interne].Nombre d'heures
Mécanique;0,66667;02/01/2025;machine2;Mécanique;0,66667;645,55;tech;one;0,66667
Arrosage;1;02/01/2025;machine2;Arrosage;0,41667;3,47;tech;one;0,41667
Mécanique;1,83333;02/01/2025;machine2;Mécanique;1,83333;15,27;tech;seven;1,83333
Mécanique;5,75;02/01/2025;machine6;Mécanique;10,5;294,47;tech;two;5
Mécanique;5,75;02/01/2025;machine6;Mécanique;10,5;294,47;tech;one;3,5
Mécanique;5,75;02/01/2025;machine6;Mécanique;10,5;294,47;tech;six;1
Mécanique;5,75;02/01/2025;machine6;Mécanique;10,5;294,47;tech;seven;1
Mécanique;0,5;01/01/2025;machine3;Mécanique;0,41667;19;tech;eight;0,41667
Arrosage;0,5;01/01/2025;machine6;Arrosage;0,5;18;tech;eight;0,5
Mécanique;39;31/12/2024;machine2;Mécanique;9;74,98;tech;six;3,5
Mécanique;39;31/12/2024;machine2;Mécanique;9;74,98;tech;seven;5,5
Mécanique;4,5;31/12/2024;machine2;Mécanique;5;113,5;tech;six;3
Mécanique;4,5;31/12/2024;machine2;Mécanique;5;113,5;tech;seven;2
Mécanique;0,35;31/12/2024;machine2;Mécanique;0,33333;0;tech;three;0,33333
Arrosage;0,36667;31/12/2024;machine2;Arrosage;0,33333;0;tech;three;0,33333
Arrosage;0,45;31/12/2024;machine2;Arrosage;0,33333;0;tech;three;0,33333
Arrosage;0,4;31/12/2024;machine6;Arrosage;0,33333;17,18;tech;six;0,33333
Arrosage;0,11667;31/12/2024;machine6;Arrosage;0,08333;4,89;tech;seven;0,08333
Mécanique;2,41667;30/12/2024;machine2;Mécanique;3;67,13;tech;six;2
Mécanique;2,41667;30/12/2024;machine2;Mécanique;3;67,13;tech;nine;0,5
Mécanique;2,41667;30/12/2024;machine2;Mécanique;3;67,13;tech;eight;0,5
Divers;0,15;30/12/2024;machine2;Divers;0,3;1,25;tech;six;0,15
Divers;0,15;30/12/2024;machine2;Divers;0,3;1,25;tech;eight;0,15
Electronique;1,5;30/12/2024;machine2;Electronique;3;62,03;tech;four;1,5
Electronique;1,5;30/12/2024;machine2;Electronique;3;62,03;tech;five;1,5
Mécanique;35,66667;30/12/2024;machine2;Mécanique;12;99,96;tech;six;6
Mécanique;35,66667;30/12/2024;machine2;Mécanique;12;99,96;tech;seven;6
Hydraulique;0,58333;30/12/2024;machine1;Hydraulique;0,33333;25,67;tech;three;0,33333
Arrosage;0,75;30/12/2024;machine6;Arrosage;0,58333;27;tech;three;0,58333
Arrosage;3;30/12/2024;machine6;Arrosage;1;116,33;tech;six;1
Arrosage;0,66667;30/12/2024;machine6;Arrosage;0,5;24;tech;three;0,5
Arrosage;0,83333;28/12/2024;machine6;Arrosage;0,58333;34,86;tech;one;0,58333
Arrosage;1,25;27/12/2024;machine2;Arrosage;0,5;4,17;tech;one;0,5
Arrosage;8;27/12/2024;machine6;Arrosage;3;288;tech;three;3
Electronique;0,58333;27/12/2024;machine6;Electronique;0,5;25,17;tech;nine;0,5
Arrosage;1;26/12/2024;machine2;Arrosage;3;16,66;tech;six;1
Arrosage;1;26/12/2024;machine2;Arrosage;3;16,66;tech;seven;1
Arrosage;1;26/12/2024;machine2;Arrosage;3;16,66;tech;eight;1
Mécanique;0,33333;26/12/2024;machine2;Mécanique;0,66666;2,78;tech;nine;0,33333
Mécanique;0,33333;26/12/2024;machine2;Mécanique;0,66666;2,78;tech;three;0,33333
Arrosage;0,25;26/12/2024;machine2;Arrosage;0,25;2,08;tech;six;0,25
Arrosage;1,08333;26/12/2024;machine2;Arrosage;2,16666;9,02;tech;six;1,08333
Arrosage;1,08333;26/12/2024;machine2;Arrosage;2,16666;9,02;tech;eight;1,08333
Mécanique;180,58333;26/12/2024;machine3;Mécanique;112;7661,85;tech;four;16
Mécanique;180,58333;26/12/2024;machine3;Mécanique;112;7661,85;tech;one;16
Mécanique;180,58333;26/12/2024;machine3;Mécanique;112;7661,85;tech;six;16
Mécanique;180,58333;26/12/2024;machine3;Mécanique;112;7661,85;tech;seven;16
Mécanique;180,58333;26/12/2024;machine3;Mécanique;112;7661,85;tech;nine;16
Mécanique;180,58333;26/12/2024;machine3;Mécanique;112;7661,85;tech;five;16
Mécanique;180,58333;26/12/2024;machine3;Mécanique;112;7661,85;tech;eight;16
Arrosage;0,66667;25/12/2024;machine2;Arrosage;0,66667;5,55;tech;five;0,66667
Arrosage;0,41667;25/12/2024;machine2;Arrosage;0,33333;2,78;tech;six;0,33333
Arrosage;0,41667;25/12/2024;machine2;Arrosage;0,45;0;tech;three;0,45
Mécanique;1,91667;25/12/2024;machine4;Mécanique;1,25;0;tech;three;1,25
Mécanique;17,5;24/12/2024;machine2;Mécanique;13;74,97;tech;nine;7
Mécanique;17,5;24/12/2024;machine2;Mécanique;13;74,97;tech;five;2
Mécanique;17,5;24/12/2024;machine2;Mécanique;13;74,97;tech;three;4
Arrosage;0,33333;24/12/2024;machine2;Arrosage;0,33333;2,78;tech;five;0,33333
Mécanique;0,5;24/12/2024;machine3;Mécanique;0,33333;19;tech;three;0,33333
Arrosage;0,41667;24/12/2024;machine3;Arrosage;0,33333;15,83;tech;three;0,33333
Mécanique;0,5;24/12/2024;machine3;Mécanique;1,25;19;tech;three;1,25
Mécanique;51,5;24/12/2024;machine3;Mécanique;99;3815,07;tech;four;15
Mécanique;51,5;24/12/2024;machine3;Mécanique;99;3815,07;tech;one;9
Mécanique;51,5;24/12/2024;machine3;Mécanique;99;3815,07;tech;six;20
Mécanique;51,5;24/12/2024;machine3;Mécanique;99;3815,07;tech;seven;20
Mécanique;51,5;24/12/2024;machine3;Mécanique;99;3815,07;tech;five;15
Mécanique;51,5;24/12/2024;machine3;Mécanique;99;3815,07;tech;eight;20
Electronique;0,13333;24/12/2024;machine1;Electronique;0,13333;5,87;tech;three;0,13333
Arrosage;0,83333;23/12/2024;machine6;Arrosage;0,66667;35,55;tech;five;0,66667
Mécanique;1,5;23/12/2024;machine2;Mécanique;0,5;4,17;tech;five;0,5
Hydraulique;0,53333;23/12/2024;machine3;Hydraulique;0,33333;20,27;tech;three;0,33333
Arrosage;15,66667;22/12/2024;machine3;Arrosage;0,83333;602,27;tech;one;0,83333
Mécanique;0,5;21/12/2024;machine3;Mécanique;0,5;23,17;tech;nine;0,5
Mécanique;7,08333;21/12/2024;machine1;Mécanique;5,5;357,5;tech;one;2,5
Mécanique;7,08333;21/12/2024;machine1;Mécanique;5,5;357,5;tech;six;2,5
Mécanique;7,08333;21/12/2024;machine1;Mécanique;5,5;357,5;tech;nine;0,5
Mécanique;1,5;21/12/2024;machine1;Mécanique;1,5;78,5;tech;nine;1,5
Arrosage;0,33333;20/12/2024;machine2;Arrosage;0,33333;2,78;tech;seven;0,33333
Mécanique;85;20/12/2024;machine2;Mécanique;35;224,91;tech;one;10
Mécanique;85;20/12/2024;machine2;Mécanique;35;224,91;tech;nine;7
Mécanique;85;20/12/2024;machine2;Mécanique;35;224,91;tech;five;10
Mécanique;85;20/12/2024;machine2;Mécanique;35;224,91;tech;three;8
Arrosage;0,75;20/12/2024;machine6;Arrosage;0,41667;30,47;tech;seven;0,41667
Arrosage;1,25;19/12/2024;machine4;Arrosage;1;401,8;tech;nine;1
Mécanique;6;19/12/2024;machine2;Mécanique;7,25;60,39;tech;one;2
Mécanique;6;19/12/2024;machine2;Mécanique;7,25;60,39;tech;seven;5,25
Hydraulique;0,28333;18/12/2024;machine1;Hydraulique;0,56666;17,19;tech;six;0,28333
Hydraulique;0,28333;18/12/2024;machine1;Hydraulique;0,56666;17,19;tech;seven;0,28333
Arrosage;0,33333;18/12/2024;machine6;Arrosage;0,33333;14,78;tech;seven;0,33333
Hydraulique;0,41667;18/12/2024;machine1;Hydraulique;0,66666;23,89;tech;six;0,33333
Hydraulique;0,41667;18/12/2024;machine1;Hydraulique;0,66666;23,89;tech;seven;0,33333
Arrosage;0,63333;17/12/2024;machine2;Arrosage;0,5;4,17;tech;one;0,5
Electronique;0,33333;17/12/2024;machine3;Electronique;0,33333;15,45;tech;five;0,33333
Mécanique;0,5;17/12/2024;machine1;Mécanique;1;30,34;tech;six;0,5
Mécanique;0,5;17/12/2024;machine1;Mécanique;1;30,34;tech;seven;0,5
Electronique;0,16667;17/12/2024;machine1;Electronique;0,16667;8,72;tech;nine;0,16667
Arrosage;0,7;17/12/2024;machine6;Arrosage;0,5;29,37;tech;nine;0,5
Mécanique;13,25;16/12/2024;machine2;Mécanique;2,33334;87,95;tech;six;1,16667
Mécanique;13,25;16/12/2024;machine2;Mécanique;2,33334;87,95;tech;seven;1,16667
Mécanique;3;16/12/2024;machine2;Mécanique;2;16,66;tech;nine;2
Mécanique;14,5;16/12/2024;machine3;Mécanique;1,5;557,25;tech;seven;0,75
Mécanique;14,5;16/12/2024;machine3;Mécanique;1,5;557,25;tech;eight;0,75
Mécanique;0,75;15/12/2024;machine3;Mécanique;0,66667;34,05;tech;one;0,66667
Mécanique;0,33333;14/12/2024;machine3;Mécanique;0,33333;15,45;tech;five;0,33333
Arrosage;0,5;14/12/2024;machine4;Arrosage;0,5;397,64;tech;seven;0,5
Arrosage;1,16667;14/12/2024;machine6;Arrosage;2;58,66;tech;four;1
Arrosage;1,16667;14/12/2024;machine6;Arrosage;2;58,66;tech;five;1
Arrosage;0,41667;13/12/2024;machine2;Arrosage;0,41667;3,47;tech;six;0,41667
Mécanique;5,58333;13/12/2024;machine2;Mécanique;4,66666;38,88;tech;four;2,33333
Mécanique;5,58333;13/12/2024;machine2;Mécanique;4,66666;38,88;tech;five;2,33333
Arrosage;0,63333;13/12/2024;machine4;Arrosage;0,5;397,64;tech;five;0,5
Mécanique;0,83333;13/12/2024;machine3;Mécanique;0,5;35,84;tech;six;0,5
Mécanique;1,16667;13/12/2024;machine3;Mécanique;1;52,66;tech;five;1
Mécanique;0,83333;13/12/2024;machine3;Mécanique;0,83333;31,67;tech;three;0,83333
Mécanique;5,5;12/12/2024;machine1;Mécanique;0,58333;242;tech;three;0,58333
Mécanique;4,08333;12/12/2024;machine2;Mécanique;2,5;6,25;tech;one;0,75
Mécanique;4,08333;12/12/2024;machine2;Mécanique;2,5;6,25;tech;three;1,75
Mécanique;1,96667;12/12/2024;machine3;Mécanique;1,58333;87,92;tech;one;1,58333
Mécanique;0,66667;12/12/2024;machine3;Mécanique;0,58333;25,33;tech;three;0,58333
Mécanique;5,41667;12/12/2024;machine3;Mécanique;1,16667;215,55;tech;six;1,16667
Mécanique;3,13333;12/12/2024;machine3;Mécanique;2,33333;138,51;tech;six;2,33333
Mécanique;21,5;12/12/2024;machine1;Mécanique;17;1866,57;tech;one;6
Mécanique;21,5;12/12/2024;machine1;Mécanique;17;1866,57;tech;six;7
Mécanique;21,5;12/12/2024;machine1;Mécanique;17;1866,57;tech;three;4
Arrosage;2,25;11/12/2024;machine4;Arrosage;0,75;0;tech;three;0,75
Arrosage;0,75;11/12/2024;machine4;Arrosage;1,5;399,72;tech;six;0,75
Arrosage;0,75;11/12/2024;machine4;Arrosage;1,5;399,72;tech;eight;0,75
Arrosage;1,16667;11/12/2024;machine4;Arrosage;1,41667;4,17;tech;seven;0,5
Arrosage;1,16667;11/12/2024;machine4;Arrosage;1,41667;4,17;tech;three;0,91667
Mécanique;1,83333;10/12/2024;machine3;Mécanique;1,66666;76,61;tech;seven;0,83333
Mécanique;1,83333;10/12/2024;machine3;Mécanique;1,66666;76,61;tech;three;0,83333
Arrosage;0,5;10/12/2024;machine3;Arrosage;0,5;23,17;tech;six;0,5
Mécanique;1,75;10/12/2024;machine3;Mécanique;1,66667;80,38;tech;six;1,66667
Mécanique;0,5;10/12/2024;machine4;Mécanique;0,5;4,17;tech;nine;0,5
Programme;1,08333;10/12/2024;machine6;Programme;0,75;45,25;tech;seven;0,75
Arrosage;0,75;10/12/2024;machine4;Arrosage;0,58333;0;tech;three;0,58333
Mécanique;0,5;09/12/2024;machine3;Mécanique;0,33333;19;tech;three;0,33333
Mécanique;0,88333;09/12/2024;machine3;Mécanique;0,41667;37,04;tech;six;0,41667
Mécanique;0,75;09/12/2024;machine3;Mécanique;0,5;32,67;tech;six;0,5
Arrosage;2,9;09/12/2024;machine4;Arrosage;2;393,47;tech;three;2
Mécanique;1,91667;06/12/2024;machine3;Mécanique;1,33334;78,38;tech;six;0,66667
Mécanique;1,91667;06/12/2024;machine3;Mécanique;1,33334;78,38;tech;eight;0,66667
Mécanique;0,5;06/12/2024;machine3;Mécanique;0,5;23,17;tech;six;0,5
Mécanique;0,41667;06/12/2024;machine3;Mécanique;0,41667;19,3;tech;five;0,41667
Arrosage;0,51667;06/12/2024;machine4;Arrosage;1;4,17;tech;six;0,5
Arrosage;0,51667;06/12/2024;machine4;Arrosage;1;4,17;tech;eight;0,5
Hydraulique;0,7;06/12/2024;machine1;Hydraulique;1;34,97;tech;six;0,5
Hydraulique;0,7;06/12/2024;machine1;Hydraulique;1;34,97;tech;eight;0,5
Hydraulique;6;06/12/2024;machine5;Hydraulique;20,5;224,13;tech;one;4
Hydraulique;6;06/12/2024;machine5;Hydraulique;20,5;224,13;tech;six;4
Hydraulique;6;06/12/2024;machine5;Hydraulique;20,5;224,13;tech;five;4,5
Hydraulique;6;06/12/2024;machine5;Hydraulique;20,5;224,13;tech;eight;4
Hydraulique;6;06/12/2024;machine5;Hydraulique;20,5;224,13;tech;three;4
Mécanique;2,25;05/12/2024;machine4;Mécanique;4;33,32;tech;four;1
Mécanique;2,25;05/12/2024;machine4;Mécanique;4;33,32;tech;two;2
Mécanique;2,25;05/12/2024;machine4;Mécanique;4;33,32;tech;five;1
Mécanique;1,83333;05/12/2024;machine3;Mécanique;1,58333;69,67;tech;three;1,58333
Mécanique;0,58333;05/12/2024;machine3;Mécanique;0,25;24,25;tech;five;0,25
Arrosage;0,7;05/12/2024;machine4;Arrosage;1,16666;4,86;tech;six;0,58333
Arrosage;0,7;05/12/2024;machine4;Arrosage;1,16666;4,86;tech;eight;0,58333
Mécanique;3,83333;05/12/2024;machine4;Mécanique;3,5;29,16;tech;four;1
Mécanique;3,83333;05/12/2024;machine4;Mécanique;3,5;29,16;tech;five;2,5
Electronique;0,16667;05/12/2024;machine7;Electronique;0,08333;56,23;tech;two;0,08333
Electronique;0,16667;05/12/2024;machine7;Electronique;0,08333;56,23;tech;two;0,08333
Arrosage;0,41667;05/12/2024;machine6;Arrosage;0,83334;18,47;tech;six;0,41667
Arrosage;0,41667;05/12/2024;machine6;Arrosage;0,83334;18,47;tech;eight;0,41667
Mécanique;0,48333;04/12/2024;machine4;Mécanique;0,41667;3,47;tech;six;0,41667
Arrosage;1,33333;04/12/2024;machine2;Arrosage;0,66667;5,55;tech;five;0,66667
Arrosage;0,83333;04/12/2024;machine4;Arrosage;0,58333;0;tech;three;0,58333
Arrosage;2,33333;04/12/2024;machine4;Arrosage;0,5;4,17;tech;five;0,5
Arrosage;0,91667;03/12/2024;machine2;Arrosage;1,16666;4,86;tech;six;0,58333
Arrosage;0,91667;03/12/2024;machine2;Arrosage;1,16666;4,86;tech;eight;0,58333
Arrosage;0,58333;03/12/2024;machine2;Arrosage;0,5;4,17;tech;five;0,5
Mécanique;0,58333;03/12/2024;machine3;Mécanique;1,16666;27,03;tech;six;0,58333
Mécanique;0,58333;03/12/2024;machine3;Mécanique;1,16666;27,03;tech;eight;0,58333
Mécanique;1,16667;03/12/2024;machine3;Mécanique;2;52,66;tech;seven;1
Mécanique;1,16667;03/12/2024;machine3;Mécanique;2;52,66;tech;three;1
Hydraulique;0,63333;03/12/2024;machine3;Hydraulique;0,5;28,24;tech;six;0,5
Arrosage;1;03/12/2024;machine4;Arrosage;1;8,33;tech;five;1
Mécanique;11,08333;02/12/2024;machine3;Mécanique;1;429,5;tech;five;1
Arrosage;1;02/12/2024;machine2;Arrosage;0,58333;0;tech;three;0,58333
Arrosage;0,75;02/12/2024;machine2;Arrosage;0,66667;0;tech;three;0,66667
Arrosage;2;02/12/2024;machine2;Arrosage;3,66666;15,27;tech;six;1,83333
Arrosage;2;02/12/2024;machine2;Arrosage;3,66666;15,27;tech;eight;1,83333
Mécanique;0,25;02/12/2024;machine4;Mécanique;0,5;4,16;tech;four;0,25
Mécanique;0,25;02/12/2024;machine4;Mécanique;0,5;4,16;tech;five;0,25
Arrosage;0,33333;02/12/2024;machine6;Arrosage;0,66666;14,78;tech;seven;0,33333
Arrosage;0,33333;02/12/2024;machine6;Arrosage;0,66666;14,78;tech;three;0,33333
Hydraulique;0,58333;02/12/2024;machine6;Hydraulique;0,16667;22,39;tech;one;0,16667
Electronique;1,5;02/12/2024;machine6;Electronique;0,5;58,17;tech;one;0,5
Mécanique;0,55;01/12/2024;machine3;Mécanique;0,5;25,07;tech;one;0,5
Mécanique;0,55;30/11/2024;machine3;Mécanique;0,41667;24,37;tech;one;0,41667
Electronique;0,91667;30/11/2024;machine4;Electronique;0,33333;2,78;tech;one;0,33333
Electronique;0,58333;29/11/2024;machine2;Electronique;1,16666;9,72;tech;one;0,58333
Electronique;0,58333;29/11/2024;machine2;Electronique;1,16666;9,72;tech;six;0,58333
Mécanique;0,66667;29/11/2024;machine3;Mécanique;0,5;29,5;tech;six;0,5
Mécanique;6;29/11/2024;machine10;Mécanique;14,5;355,24;tech;four;2
Mécanique;6;29/11/2024;machine10;Mécanique;14,5;355,24;tech;seven;4
Mécanique;6;29/11/2024;machine10;Mécanique;14,5;355,24;tech;five;4,5
Mécanique;6;29/11/2024;machine10;Mécanique;14,5;355,24;tech;three;4
Arrosage;1,58333;28/11/2024;machine2;Arrosage;1,08333;6,25;tech;one;0,41667
Arrosage;1,58333;28/11/2024;machine2;Arrosage;1,08333;6,25;tech;six;0,33333
Arrosage;1,58333;28/11/2024;machine2;Arrosage;1,08333;6,25;tech;eight;0,33333
Hydraulique;1,11667;28/11/2024;machine3;Hydraulique;2,16666;51,45;tech;six;1,08333
Hydraulique;1,11667;28/11/2024;machine3;Hydraulique;2,16666;51,45;tech;eight;1,08333
Arrosage;0,41667;28/11/2024;machine6;Arrosage;0,25;17,08;tech;six;0,25
Mécanique;0;28/11/2024;machine10;Mécanique;1;27,77;tech;three;1
Mécanique;3,5;27/11/2024;machine2;Mécanique;3;24,99;tech;two;3
Mécanique;1,33333;27/11/2024;machine4;Mécanique;1,33333;11,11;tech;five;1,33333
Mécanique;4,16667;27/11/2024;machine3;Mécanique;4;191,65;tech;six;2
Mécanique;4,16667;27/11/2024;machine3;Mécanique;4;191,65;tech;five;2
Arrosage;0,66667;27/11/2024;machine4;Arrosage;0,66667;5,55;tech;five;0,66667
Mécanique;0,75;27/11/2024;machine1;Mécanique;0,41667;3,47;tech;six;0,41667
Mécanique;21,83333;27/11/2024;machine10;Mécanique;16,5;1800,78;tech;one;5
Mécanique;21,83333;27/11/2024;machine10;Mécanique;16,5;1800,78;tech;six;5
Mécanique;21,83333;27/11/2024;machine10;Mécanique;16,5;1800,78;tech;five;6,5
Mécanique;2,25;26/11/2024;machine2;Mécanique;1,75;0;tech;three;1,75
Arrosage;0,98333;26/11/2024;machine2;Arrosage;1,41667;11,8;tech;four;0,66667
Arrosage;0,98333;26/11/2024;machine2;Arrosage;1,41667;11,8;tech;five;0,75
Arrosage;0,58333;26/11/2024;machine2;Arrosage;1;4,17;tech;six;0,5
Arrosage;0,58333;26/11/2024;machine2;Arrosage;1;4,17;tech;eight;0,5
Mécanique;4,5;26/11/2024;machine3;Mécanique;1,33333;171;tech;three;1,33333
Mécanique;2,58333;26/11/2024;machine1;Mécanique;0,33333;113,67;tech;three;0,33333
Arrosage;0,75;26/11/2024;machine6;Arrosage;0,58333;27;tech;three;0,58333
Mécanique;0,83333;25/11/2024;machine2;Mécanique;0,83333;6,94;tech;five;0,83333
Mécanique;3,75;25/11/2024;machine3;Mécanique;3,33333;149,45;tech;seven;0,5
Mécanique;3,75;25/11/2024;machine3;Mécanique;3,33333;149,45;tech;five;0,33333
Mécanique;3,75;25/11/2024;machine3;Mécanique;3,33333;149,45;tech;three;2,5
Mécanique;0,83333;25/11/2024;machine3;Mécanique;0,66667;37,22;tech;five;0,66667
Hydraulique;3,36667;25/11/2024;machine3;Hydraulique;0,91667;162,42;tech;six;0,91667
Arrosage;2,75;25/11/2024;machine1;Arrosage;1;8,33;tech;five;1
Mécanique;0,58333;24/11/2024;machine3;Mécanique;0,5;26,34;tech;one;0,5
Mécanique;9,83333;24/11/2024;machine3;Mécanique;0,41667;377,14;tech;six;0,41667
Arrosage;4,75;24/11/2024;machine1;Arrosage;0,58333;4,86;tech;one;0,58333
Hydraulique;14,7;23/11/2024;machine1;Hydraulique;1;655,13;tech;one;1
Arrosage;1;23/11/2024;machine1;Arrosage;0,83333;0;tech;three;0,83333
Mécanique;9;22/11/2024;machine3;Mécanique;13;416,98;tech;six;4
Mécanique;9;22/11/2024;machine3;Mécanique;13;416,98;tech;seven;2,5
Mécanique;9;22/11/2024;machine3;Mécanique;13;416,98;tech;nine;2,5
Mécanique;9;22/11/2024;machine3;Mécanique;13;416,98;tech;eight;4
Arrosage;0,66667;22/11/2024;machine4;Arrosage;1,33334;343,74;tech;four;0,66667
Arrosage;0,66667;22/11/2024;machine4;Arrosage;1,33334;343,74;tech;five;0,66667
Electrique;1;22/11/2024;machine5;Electrique;1;182,01;tech;six;1
Electrique;1;22/11/2024;machine5;Electrique;1;182,01;tech;six;1
Electronique;0,41667;22/11/2024;machine5;Electronique;0,91667;15,97;tech;seven;0,41667
Electronique;0,41667;22/11/2024;machine5;Electronique;0,91667;15,97;tech;nine;0,5
Mécanique;0,5;22/11/2024;machine5;Mécanique;1;18,34;tech;seven;0,5
Mécanique;0,5;22/11/2024;machine5;Mécanique;1;18,34;tech;nine;0,5
Mécanique;4,08333;20/11/2024;machine3;Mécanique;4,5;188,5;tech;four;1,5
Mécanique;4,08333;20/11/2024;machine3;Mécanique;4,5;188,5;tech;six;1
Mécanique;4,08333;20/11/2024;machine3;Mécanique;4,5;188,5;tech;five;1,5
Mécanique;4,08333;20/11/2024;machine3;Mécanique;4,5;188,5;tech;eight;0,5
Arrosage;0,41667;20/11/2024;machine2;Arrosage;0,66666;2,78;tech;six;0,33333
Arrosage;0,41667;20/11/2024;machine2;Arrosage;0,66666;2,78;tech;eight;0,33333
Electrique;0,83333;20/11/2024;machine2;Electrique;0,5;4,17;tech;six;0,5
Arrosage;0,41667;20/11/2024;machine6;Arrosage;0,33333;17,78;tech;six;0,33333
Arrosage;0,55;20/11/2024;machine6;Arrosage;0,5;23,97;tech;two;0,5
Arrosage;0,41667;20/11/2024;machine6;Arrosage;0,66666;20,56;tech;seven;0,33333
Arrosage;0,41667;20/11/2024;machine6;Arrosage;0,66666;20,56;tech;nine;0,33333
Mécanique;0,33333;19/11/2024;machine3;Mécanique;0,16667;12,67;tech;eight;0,16667
Arrosage;0,41667;19/11/2024;machine4;Arrosage;0,25;0;tech;three;0,25
Arrosage;1;19/11/2024;machine6;Arrosage;1,16666;38,78;tech;seven;0,33333
Arrosage;1;19/11/2024;machine6;Arrosage;1,16666;38,78;tech;three;0,83333
Mécanique;0,33333;19/11/2024;machine1;Mécanique;0,66666;5,56;tech;seven;0,33333
Mécanique;0,33333;19/11/2024;machine1;Mécanique;0,66666;5,56;tech;nine;0,33333
Arrosage;1;19/11/2024;machine6;Arrosage;1,16666;38,78;tech;seven;0,33333
Arrosage;1;19/11/2024;machine6;Arrosage;1,16666;38,78;tech;three;0,83333
Arrosage;0,66667;19/11/2024;machine4;Arrosage;0,25;0;tech;three;0,25
Electronique;8,75;18/11/2024;machine8;Electronique;0,5;210;tech;eight;0,5
Electronique;0,25;18/11/2024;machine2;Electronique;0,25;0;tech;eight;0,25
Mécanique;0,58333;18/11/2024;machine3;Mécanique;0,5;26,34;tech;six;0,5
Arrosage;0,41667;18/11/2024;machine6;Arrosage;0,41667;18,47;tech;six;0,41667
Arrosage;3,33333;18/11/2024;machine6;Arrosage;0,25;120;tech;eight;0,25
Mécanique;0,58333;18/11/2024;machine1;Mécanique;0,5;4,17;tech;six;0,5
Arrosage;16,58333;17/11/2024;machine4;Arrosage;0,16667;332,64;tech;eight;0,16667
Mécanique;1,5;16/11/2024;machine3;Mécanique;1,5;69,5;tech;one;1,5
Hydraulique;1,16667;16/11/2024;machine3;Hydraulique;1;52,66;tech;one;1
Arrosage;6,11667;16/11/2024;machine4;Arrosage;3,5;29,16;tech;one;1,5
Arrosage;6,11667;16/11/2024;machine4;Arrosage;3,5;29,16;tech;five;2
Arrosage;0,5;16/11/2024;machine4;Arrosage;0,33333;2,78;tech;six;0,33333
Arrosage;0,33333;16/11/2024;machine6;Arrosage;0,33333;12;tech;eight;0,33333
Mécanique;0,75;16/11/2024;machine1;Mécanique;1,33334;11,1;tech;four;0,66667
Mécanique;0,75;16/11/2024;machine1;Mécanique;1,33334;11,1;tech;five;0,66667
Mécanique;1;15/11/2024;machine3;Mécanique;0,75;38;tech;three;0,75
Hydraulique;1;15/11/2024;machine3;Hydraulique;0,75;44,25;tech;five;0,75
Hydraulique;2,5;15/11/2024;machine1;Hydraulique;4,16666;144,7;tech;one;2,08333
Hydraulique;2,5;15/11/2024;machine1;Hydraulique;4,16666;144,7;tech;five;2,08333
Arrosage;0,36667;15/11/2024;machine4;Arrosage;0,33333;2,78;tech;one;0,33333
Arrosage;0,5;15/11/2024;machine4;Arrosage;0,5;4,17;tech;five;0,5
Arrosage;0,5;15/11/2024;machine4;Arrosage;0,5;4,17;tech;five;0,5
Hydraulique;1,08333;15/11/2024;machine7;Hydraulique;1,5;6,25;tech;six;0,75
Hydraulique;1,08333;15/11/2024;machine7;Hydraulique;1,5;6,25;tech;eight;0,75
Pneumatique;0,33333;15/11/2024;machine1;Pneumatique;0,25;0;tech;three;0,25
Pneumatique;4;14/11/2024;machine2;Pneumatique;4,83333;98,59;tech;five;4,83333
Electronique;6,66667;14/11/2024;machine2;Electronique;2;25,46;tech;one;1
Electronique;6,66667;14/11/2024;machine2;Electronique;2;25,46;tech;six;0,5
Electronique;6,66667;14/11/2024;machine2;Electronique;2;25,46;tech;eight;0,5
Arrosage;0,5;14/11/2024;machine4;Arrosage;0,5;4,17;tech;one;0,5
Mécanique;0,75;14/11/2024;machine3;Mécanique;0,75;34,75;tech;six;0,75
Mécanique;3,91667;14/11/2024;machine3;Mécanique;2,66667;171,04;tech;two;1
Mécanique;3,91667;14/11/2024;machine3;Mécanique;2,66667;171,04;tech;five;1,66667
Arrosage;0,66667;14/11/2024;machine4;Arrosage;0,66667;5,55;tech;two;0,66667
Mécanique;0,58333;14/11/2024;machine10;Mécanique;0,58333;23,33;tech;three;0,58333
Mécanique;0,83333;14/11/2024;machine3;Mécanique;0,83333;38,61;tech;two;0,83333
Hydraulique;0,83333;13/11/2024;machine1;Hydraulique;1,66666;43,61;tech;six;0,83333
Hydraulique;0,83333;13/11/2024;machine1;Hydraulique;1,66666;43,61;tech;eight;0,83333
Arrosage;0,35;13/11/2024;machine6;Arrosage;0,33333;15,38;tech;six;0,33333
Arrosage;0,75;13/11/2024;machine1;Arrosage;1,16666;4,86;tech;six;0,58333
Arrosage;0,75;13/11/2024;machine1;Arrosage;1,16666;4,86;tech;eight;0,58333
Arrosage;0,66667;13/11/2024;machine2;Arrosage;0,66667;5,55;tech;five;0,66667
Arrosage;0,16667;13/11/2024;machine2;Arrosage;0,16667;1,39;tech;five;0,16667
Arrosage;1;13/11/2024;machine4;Arrosage;0,66667;5,55;tech;two;0,66667
Mécanique;0,83333;13/11/2024;machine1;Mécanique;0,83333;6,94;tech;five;0,83333
